OBJECTID,id,parent,name,type,address,POINT_X,POINT_Y,typecode,pcode,pname,citycode,cityname,adcode,adname,tel
5068,B0FFJ1YQLD,[],佰吉健康管理,医疗保健服务;医疗保健服务场所;医疗保健服务场所,宝通路285号,13523097.53,3666328.095,090000,310000,上海市,21,上海市,310106,静安区,
5069,B0FFHQRPDD,[],上海市鞋医生综合服务,医疗保健服务;医疗保健服务场所;医疗保健服务场所,广中路街道世纪联华超市(东宝店)B1层,13522680.86,3667049.03,090000,310000,上海市,21,上海市,310109,虹口区,
5070,B0FFMHSZUK,[],长海医院虹口院区内科大楼住院部,医疗保健服务;医疗保健服务场所;医疗保健服务场所,东江湾路15号,13523143.06,3667255.187,090000,310000,上海市,21,上海市,310109,虹口区,
5071,B0FFLF0Y1K,[],掌灸经络堂,医疗保健服务;医疗保健服务场所;医疗保健服务场所,航中路22号附近,13535888.7,3635841.062,090000,310000,上海市,21,上海市,310115,浦东新区,
5072,B0G0AYRQU3,[],掌炎经络堂,医疗保健服务;医疗保健服务场所;医疗保健服务场所,航中路24号,13535878.23,3635851.454,090000,310000,上海市,21,上海市,310115,浦东新区,
5073,B0G3AZD8C1,[],宝芝林国莲健康服务站,医疗保健服务;诊所;诊所,航兴北路60号附近,13535959.05,3636252.856,090300,310000,上海市,21,上海市,310115,浦东新区,
5074,B0FFJIUXJT,[],成人优品24小时无人售货情趣店,医疗保健服务;医疗保健服务场所;医疗保健服务场所,航兴北路39号附近,13535954.82,3636156.337,090000,310000,上海市,21,上海市,310115,浦东新区,
5075,B0FFHF4ETB,[],雷允上北区中医门诊部,医疗保健服务;诊所;诊所,溧阳路1416号(溧阳路与长山路交叉口西50米路南),13523585.44,3667028.845,090300,310000,上海市,21,上海市,310109,虹口区,
5076,B001574WJF,B0FFFL6EMR,天佑母婴月子会所(虹口店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,四川北路1885号民达大厦-上海多伦多11层,13523477.69,3666790.916,090000,310000,上海市,21,上海市,310109,虹口区,
5077,B0FFLG68SS,[],海军军医大学第一附属医院虹口院区急救中心,医疗保健服务;综合医院;三级甲等医院,东江湾路,13523138.05,3667283.578,090101,310000,上海市,21,上海市,310109,虹口区,
5078,B0FFKTYQC5,[],锐氧运动康复中心,医疗保健服务;医疗保健服务场所;医疗保健服务场所,东宝兴路239号,13523209.41,3666374.194,090000,310000,上海市,21,上海市,310109,虹口区,
5079,B0FFM73O1Z,B001515158,立聪堂助听器(方舟店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,四川北路2115号方舟大厦12层d座,13523269.96,3667217.68,090000,310000,上海市,21,上海市,310109,虹口区,
5080,B0G39SONSX,[],圣微康健康管理中心,医疗保健服务;医疗保健服务场所;医疗保健服务场所,四川北路1971号附近,13523518.65,3666958.39,090000,310000,上海市,21,上海市,310109,虹口区,
5081,B0FFKP410J,[],上海长海医院虹口院区,医疗保健服务;医疗保健服务场所;医疗保健服务场所,东江湾路15号,13523215.97,3667250.108,090000,310000,上海市,21,上海市,310109,虹口区,
5082,B0FFGTB2GB,[],性福岛成人用品24小时无人售货店,医疗保健服务;医疗保健服务场所;医疗保健服务场所,新泾路355号附近,13471000.45,3618350.876,090000,310000,上海市,21,上海市,310116,金山区,
5083,B0FFFWZHM7,[],上海苏枫中医门诊部,医疗保健服务;诊所;诊所,新街弄38号,13471374.71,3618321.819,090300,310000,上海市,21,上海市,310116,金山区,
5084,B00156LU6D,B00155IKSB,上海理工大学医务室,医疗保健服务;诊所;诊所,军工路516号(上海理工大学),13530599.35,3671716.471,090300,310000,上海市,21,上海市,310110,杨浦区,
5085,B0FFLHEXS0,[],门诊部,医疗保健服务;诊所;诊所,东江湾路15号上海长海医院,13523222.54,3667289.438,090300,310000,上海市,21,上海市,310109,虹口区,
5086,B0FFMCJBFA,[],声望听力(虹口嘉杰店),医疗保健服务;医疗保健服务场所;医疗保健服务场所,四川北路1717号(嘉杰国际广场10楼1010室),13523384.73,3666386.174,090000,310000,上海市,21,上海市,310109,虹口区,
5087,B0FFF5LXV8,B00156PNKT,411医院-PET-CT体检中心,医疗保健服务;医疗保健服务场所;医疗保健服务场所,东江湾路与黄渡路交叉口西南50米,13523169.44,3667255.187,090000,310000,上海市,21,上海市,310109,虹口区,
5088,B0GUZHGDUX,[],悦心耳道,医疗保健服务;医疗保健服务场所;医疗保健服务场所,东宝兴路237号二楼,13523234.34,3666357.655,090000,310000,上海市,21,上海市,310109,虹口区,
5089,B0HGBCQQ4Q,[],锐氧运动康复中医诊所,医疗保健服务;诊所;诊所,东宝兴路239号,13523198.39,3666377.58,090300,310000,上海市,21,上海市,310109,虹口区,
