OBJECTID,id,parent,name,type,address,POINT_X,POINT_Y,typecode,pcode,pname,citycode,cityname,adcode,adname,tel
739,BV11486468,[],华联超市(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,南建专线,13494019.21,3732555.498,150700,310000,上海市,21,上海市,310151,崇明区,
740,BV10674836,[],悦目路周家宅路(公交站),交通设施服务;公交车站;公交车站相关,1092路;1093路,13559755.6,3642061.659,150700,310000,上海市,21,上海市,310115,浦东新区,
741,BV10674837,[],悦目路新如路(公交站),交通设施服务;公交车站;公交车站相关,1092路;1093路,13559679.79,3642401.787,150700,310000,上海市,21,上海市,310115,浦东新区,
742,BV10585343,[],下盐路悦目路(公交站),交通设施服务;公交车站;公交车站相关,浦东30路,13559530.95,3642555.153,150700,310000,上海市,21,上海市,310115,浦东新区,
743,BV10039144,[],姚家庙(公交站),交通设施服务;公交车站;公交车站相关,1093路;祝桥2路,13560000.61,3641669.555,150700,310000,上海市,21,上海市,310115,浦东新区,
744,BV10674842,[],悦目路下盐路(公交站),交通设施服务;公交车站;公交车站相关,1092路;1093路,13559650.29,3642763.89,150700,310000,上海市,21,上海市,310115,浦东新区,
745,BV10674950,[],悦目路姚家小庙路(公交站),交通设施服务;公交车站;公交车站相关,1092路,13559845.54,3641694.248,150700,310000,上海市,21,上海市,310115,浦东新区,
746,BV11521960,[],姚家小庙路悦目路(公交站),交通设施服务;公交车站;公交车站相关,祝桥2路,13560001.05,3641669.555,150700,310000,上海市,21,上海市,310115,浦东新区,
747,BV10585347,[],新如农业园区(公交站),交通设施服务;公交车站;公交车站相关,浦东30路,13560208.89,3642680.447,150700,310000,上海市,21,上海市,310115,浦东新区,
748,BV10674831,[],现代农业园区(公交站),交通设施服务;公交车站;公交车站相关,1092路;1093路,13560478.28,3641687.1,150700,310000,上海市,21,上海市,310115,浦东新区,
749,BV11285444,[],松金公路浩光村部(公交站),交通设施服务;公交车站;公交车站相关,亭林四路(1667路);塘卫线,13496131.05,3621296.87,150700,310000,上海市,21,上海市,310116,金山区,
750,BV10034759,[],随塘河路洪朱公路(公交站),交通设施服务;公交车站;公交车站相关,奉城3线;海湾3线,13546596.85,3615520.225,150700,310000,上海市,21,上海市,310120,奉贤区,
751,BV11285438,[],松金公路东村阁(公交站),交通设施服务;公交车站;公交车站相关,亭林四路(1667路);塘卫线,13496138.84,3620856.38,150700,310000,上海市,21,上海市,310116,金山区,
752,BV10034243,[],抚远路石太路(公交站),交通设施服务;公交车站;公交车站相关,宝山84路,13508845.41,3689096.163,150700,310000,上海市,21,上海市,310113,宝山区,
