OBJECTID,id,parent,name,type,address,POINT_X,POINT_Y,typecode,pcode,pname,citycode,cityname,adcode,adname,tel
2427,B00154DCNN,[],甘泉公园,风景名胜;公园广场;公园,西乡路100号,13517321.94,3667509.795,110101,310000,上海市,21,上海市,310107,普陀区,
2428,B00157HRX6,[],希望,风景名胜;公园广场;公园广场,子长路与泾惠路交叉口北50米,13518097.06,3666608.598,110100,310000,上海市,21,上海市,310107,普陀区,
2429,B00156GNZC,[],牌楼村社区文化活动服务中心,科教文化服务;文化宫;文化宫,下沙镇,13531871.84,3639621.772,140800,310000,上海市,21,上海市,310115,浦东新区,
2430,B0FFMF58OY,[],九华邻居里,商务住宅;住宅区;社区中心,凯旋路与安顺路交叉口西南角,13516214.76,3658923.111,120304,310000,上海市,21,上海市,310105,长宁区,
2431,B0FFGH22T0,[],腊梅主题公园,风景名胜;公园广场;公园,外冈镇恒谐路999号,13489571.22,3676191.105,110101,310000,上海市,21,上海市,310114,嘉定区,
2432,B0G0RUDE63,[],洋泾社区文化活动中心,商务住宅;住宅区;社区中心,巨野路717号,13530951.45,3663017.231,120304,310000,上海市,21,上海市,310115,浦东新区,
2433,B0FFH1M5W1,[],上海铁路工人文化宫,科教文化服务;文化宫;文化宫,王家宅路160号(民德路王家宅路),13522056.25,3665183.618,140800,310000,上海市,21,上海市,310106,静安区,
2434,B00155EN9G,B0FFH15U1C,联洋新社区市民中心,商务住宅;住宅区;社区中心,杨高中路2795-7号联洋新社区青少年彩虹中心中途宿舍,13531545.79,3662525.781,120304,310000,上海市,21,上海市,310115,浦东新区,
2435,B0FFG8UBI2,[],褚家天主堂,风景名胜;风景名胜;教堂,褚家路66号,13527890.06,3622887.826,110206,310000,上海市,21,上海市,310120,奉贤区,
2436,B001574YYO,[],浦东新区青少年活动中心(临沂分部),科教文化服务;文化宫;文化宫,浦三路277弄24号(近地铁临沂新村站),13527016.76,3657988.058,140800,310000,上海市,21,上海市,310115,浦东新区,
2437,B0FFH18103,[],城市学校少年宫,科教文化服务;文化宫;文化宫,南码头路465号,13526449.69,3658029.18,140800,310000,上海市,21,上海市,310115,浦东新区,
2438,B00155NER6,[],南码头社区文化活动中心,科教文化服务;文化宫;文化宫,南码头路400号,13526277.48,3658242.994,140800,310000,上海市,21,上海市,310115,浦东新区,
2439,B0FFGE3O6Z,[],南汇新城城市公园,风景名胜;公园广场;公园,南汇新城镇环湖西二路西50米,13572241.75,3618515.49,110101,310000,上海市,21,上海市,310115,浦东新区,
2440,B00156R2K8,[],马家桥庙,风景名胜;风景名胜;寺庙道观,王家村唐家宅37,13512212.04,3682324.684,110205,310000,上海市,21,上海市,310113,宝山区,
2441,B0FFGI1SMJ,[],北蔡镇大华第一居民区活动室,商务住宅;住宅区;社区中心,锦绣路3088弄58-1号,13529646.23,3656318.412,120304,310000,上海市,21,上海市,310115,浦东新区,
2442,B0FFGTHKW9,[],中兴镇爱国村公共服务中心,商务住宅;住宅区;社区中心,陈南公路与陈滧公路交叉口西北50米,13555084.96,3698686.103,120304,310000,上海市,21,上海市,310151,崇明区,
2443,B0G1C7RUDT,[],朱家角新华村综合文化活动中心,科教文化服务;文化宫;文化宫,青浦朱家角浦泰路368弄新华社区服务中心内,13473643.29,3650011.949,140800,310000,上海市,21,上海市,310118,青浦区,
2444,B0FFIP0ICV,[],圣思庙,风景名胜;风景名胜;寺庙道观,立民路,13532137.67,3645822.042,110205,310000,上海市,21,上海市,310112,闵行区,
