id,parent,name,type,address,location,typecode,pcode,pname,citycode,cityname,adcode,adname,tel
B0FFLEX4AZ,[],小荡村综合文化活动室,科教文化服务;文化宫;文化宫,[],"121.703746,30.977168",140800,310000,上海市,021,上海市,310120,奉贤区,
B0FFH0ZN03,[],德华社区,商务住宅;住宅区;社区中心,临洮路与古猗园路交叉口北150米,"121.311152,31.297391",120304,310000,上海市,021,上海市,310114,嘉定区,
B00156EGXZ,[],东平市民公园,风景名胜;公园广场;公园,东平镇东冉路820号,"121.539452,31.67666",110101,310000,上海市,021,上海市,310151,崇明区,
B001557RQO,[],社庄庙(文昌宫),风景名胜;风景名胜;寺庙道观,金桥镇社庄村锦绣东路(近红枫路),"121.595531,31.233578",110205,310000,上海市,021,上海市,310115,浦东新区,
B0GR552NZ3,B001557FQN,外环高速绿地口袋公园(建设中),风景名胜;公园广场;公园,S20外环高速与淀浦河西侧,"121.382874,31.126487",110101,310000,上海市,021,上海市,310112,闵行区,
B0GR553OIO,B00156R2S4,水清路绿地口袋公园(建设中),风景名胜;公园广场;公园,水清路与淀浦河南侧,"121.376610,31.123938",110101,310000,上海市,021,上海市,310112,闵行区,
B00155L8WY,[],绿色项链,风景名胜;公园广场;公园,沪宜公路3388号,"121.251017,31.373988",110101,310000,上海市,021,上海市,310114,嘉定区,
B00155KRBV,[],南苑公园,风景名胜;公园广场;公园,群裕路48号,"121.251832,31.37056",110101,310000,上海市,021,上海市,310114,嘉定区,
B0HGJ1L9WY,[],倒了广场,风景名胜;公园广场;城市广场,工业区工业区沪宜公路3262号花都荟购物广场倒了广场,"121.253160,31.373865",110105,310000,上海市,021,上海市,310114,嘉定区,
B00156F5TM,[],南城墙公园,风景名胜;公园广场;公园,嘉定南大街与疁南街交叉口西150米,"121.254094,31.375718",110101,310000,上海市,021,上海市,310114,嘉定区,
B00156F3DH,[],南水关公园,风景名胜;公园广场;公园,嘉定南大街,"121.25573,31.376482",110101,310000,上海市,021,上海市,310114,嘉定区,
B0FFG57WBY,B00155HB31,上海大学嘉定校区文荟广场,风景名胜;公园广场;公园广场,城中路20号上海大学嘉定校区,"121.248958,31.377281",110100,310000,上海市,021,上海市,310114,嘉定区,
B0FFG9501C,[],龙五居委文化活动室,商务住宅;住宅区;社区中心,龙吴路410弄97号,"121.451737,31.157497",120304,310000,上海市,021,上海市,310104,徐汇区,
B0FFHBBRWZ,[],龙一文化活动室,商务住宅;住宅区;社区中心,龙吴路410弄97号,"121.451670,31.157739",120304,310000,上海市,021,上海市,310104,徐汇区,
B0FFFRSMLT,B00155QKBG,上海应用技术大学植物园,风景名胜;公园广场;植物园,大学东路附近,"121.517020,30.844344",110103,310000,上海市,021,上海市,310120,奉贤区,
B00155BMRW,[],吴兴寺,风景名胜;风景名胜;寺庙道观,外冈镇沪宜公路5428号,"121.176738,31.363879",110205,310000,上海市,021,上海市,310114,嘉定区,
B00155G1GR,[],康健绿苑,风景名胜;公园广场;公园,康健新村浦北路375号,"121.420504,31.153463",110101,310000,上海市,021,上海市,310104,徐汇区,
B0FFH7VVSQ,[],天主教上海教区孟家宅圣母七苦堂,风景名胜;风景名胜;教堂,阳泉路1295号,"121.465072,31.325598",110206,310000,上海市,021,上海市,310113,宝山区,
