POINT_X,POINT_Y,ID_1,dist_hospital,dist_transit,env_count_2km,hospital_dist_norm,transit_dist_norm,env_count_norm,AS,HES,CSQI
13523430.38,3658972.566,0,0.0,79.74554944359193,21,0.0,0.07697423555269582,0.4117647058823529,0.9769077293341912,0.4117647058823529,0.8073648222986397
13522667.73,3658925.974,1,0.0,162.0577805721184,22,0.0,0.1564259555792392,0.43137254901960786,0.9530722133262282,0.43137254901960786,0.796562314034242
13525367.0,3667964.846,2,0.0,214.62763684076128,26,0.0,0.20716890647277078,0.5098039215686274,0.9378493280581688,0.5098039215686274,0.8094357061113063
13524944.1,3668771.19,3,0.0,213.74539620741373,32,0.0,0.20631732542781867,0.6274509803921569,0.9381048023716543,0.6274509803921569,0.844908655777805
13528167.69,3658909.446,4,0.0,315.16625856968847,18,0.0,0.3042136143605749,0.35294117647058826,0.9087359156918274,0.35294117647058826,0.7419974939254556
13525645.86,3670471.837,5,0.0,348.4838940738532,20,0.0,0.3363733968343356,0.39215686274509803,0.8990879809496992,0.39215686274509803,0.7470086454883188
13563014.36,3628191.449,6,1.2571793830737206,136.2256936998413,0,0.0007772397470371068,0.13149158427453259,0.0,0.9600084568947141,0.0,0.6720059198262999
13509860.86,3660421.948,7,12.540293018474246,119.06305380378484,14,0.007752922379000364,0.11492537969907085,0.27450980392156865,0.9600953404249783,0.27450980392156865,0.7544196794739554
13514424.96,3660647.908,8,6.1492032833241215,271.11417705635034,27,0.0038016891374127184,0.26169242888184446,0.5294117647058824,0.9188310889392577,0.5294117647058824,0.8020052916692451
13517332.07,3654536.457,9,112.71606937810411,188.75037132707033,15,0.06968568720579897,0.18219092657284597,0.29411764705882354,0.896562740984087,0.29411764705882354,0.7158292128065079
13528353.81,3662622.377,10,282.6945888920287,12.415441352842013,26,0.17477336465858578,0.011983980471039763,0.5098039215686274,0.8740634505976779,0.5098039215686274,0.7647855918889627
13529029.08,3666293.846,11,20.992298610829042,282.5201189742489,21,0.01297829815035346,0.2727019919987143,0.4117647058823529,0.9091045936951382,0.4117647058823529,0.7599026273513025
13529142.85,3668822.378,12,0.0,199.4866538489855,26,0.0,0.19255410226814612,0.5098039215686274,0.9422337693195562,0.5098039215686274,0.8125048149942775
13570691.73,3626659.263,13,0.0,160.20208674049752,0,0.0,0.154634750739527,0.0,0.9536095747781419,0.0,0.6675267023446992
13546814.37,3657640.863,14,18.829877350048147,170.20280303452284,28,0.011641400825798428,0.16428792257272762,0.5490196078431373,0.9425646426501227,0.5490196078431373,0.824501132208027
13528126.61,3671568.864,15,278.7433316246676,331.23136520551935,18,0.17233053570329881,0.3197204271042796,0.35294117647058826,0.783452496876407,0.35294117647058826,0.6542991007546612
13550572.41,3665028.668,16,0.0,212.96373957996556,3,0.0,0.20556283289773608,0.058823529411764705,0.9383311501306791,0.058823529411764705,0.6744788639150048
13521183.17,3673511.731,17,387.46235982442846,27.67635635354318,12,0.2395450884662494,0.02671454881259422,0.23529411764705882,0.8243040734298472,0.23529411764705882,0.6476010866950106
13558579.73,3620563.679,18,0.0,173.81098115190738,3,0.0,0.16777070943997588,0.058823529411764705,0.9496687871680072,0.058823529411764705,0.6824152098411345
13542468.79,3656744.553,19,0.0,50.46940285919223,5,0.0,0.04871549235026977,0.09803921568627451,0.985385352294919,0.09803921568627451,0.7191815113123255
13529929.76,3652568.357,20,40.897182799402124,191.41425257569543,4,0.02528431220039634,0.18476223273534373,0.0784313725490196,0.9268723116391193,0.0784313725490196,0.6723400299120894
13528000.26,3657358.742,21,0.0,59.04887131841022,17,0.0,0.056996807492049606,0.3333333333333333,0.9829009577523851,0.3333333333333333,0.7880306704266695
13524765.1,3661868.115,22,90.00625472206197,310.46352865619184,38,0.05564555034373374,0.29967431351397095,0.7450980392156863,0.871145820705195,0.7450980392156863,0.8333314862583423
13536166.55,3668629.741,23,9.901948342790787,30.354316480476662,13,0.006121789721295412,0.029299444584829307,0.2549019607843137,0.9869249138196443,0.2549019607843137,0.767318027909045
13526091.58,3658645.386,24,0.0,247.92533586538403,22,0.0,0.2393094452986656,0.43137254901960786,0.9282071664104002,0.43137254901960786,0.7791567811931625
13526490.66,3659563.309,25,0.0,199.83818495017155,22,0.0,0.19289341697568269,0.43137254901960786,0.9421319749072952,0.43137254901960786,0.7889041471409889
13527023.55,3662359.799,26,11.925274672548793,134.32545709951899,25,0.00737269286677152,0.12965738461449355,0.49019607843137253,0.9559418996089118,0.49019607843137253,0.8162181532556501
13513635.15,3661527.19,27,480.99928682373474,228.2450188810939,21,0.2973734449111514,0.2203130578404286,0.4117647058823529,0.7257446712100655,0.4117647058823529,0.6315506816117517
